Feature,Importance
rolling_7_mean,0.8539387114013242
day_of_week,0.02556413584627744
rolling_7_std,0.0195241447275961
sale_amount,0.013592218675116074
discount,0.009575234064433061
precpt,0.008702944438895393
avg_temperature,0.008535497061572172
rolling_3_mean,0.008418930051143386
lag_7_sales,0.008175402036294686
week_of_year,0.008007383794555654
lag_3_sales,0.007704364055235079
avg_humidity,0.007037120198188598
lag_1_sales,0.006229476111311907
avg_wind_level,0.005370847836663638
total_stockout_hours,0.003952353294133452
stock_hour6_22_cnt,0.0030006503229978833
activity_flag,0.0010893158426766051
month,0.0008825105384201782
holiday_flag,0.000698759703164332
